Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"MS evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific NX"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific NX"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific NX"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific NX"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific NX"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific pTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific pTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"
ENSG00000124596	OARD1	"C6orf130, dJ34B21.3, MGC19570, TARG1"	"O-acyl-ADP-ribose deacylase 1"	Q9Y530	6	41033627-41097787	"Predicted intracellular proteins"		Hydrolase	"Disease mutation"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA029036	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA029036: AB_10602336"
ENSG00000115947	ORC4	"HsORC4, ORC4L, Orc4p"	"Origin recognition complex subunit 4"	O43929	2	147930397-148021604	"Disease related genes, Predicted intracellular proteins"	"DNA replication"	DNA-binding	"Disease mutation, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB015124, HPA064562"	Approved		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"CAB015124: AB_2157883, HPA064562: "
ENSG00000091651	ORC6	ORC6L	"Origin recognition complex subunit 6"	Q9Y5N6	16	46689643-46698394	"Disease related genes, Predicted intracellular proteins"	"DNA replication"	DNA-binding	"Disease mutation, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 14.2;lymphoid tissue: 12.8;testis: 23.1"	"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB016330, HPA072587"	Enhanced		Approved	"Nucleoplasm,Nucleoli fibrillar center"		Nucleoplasm	"Nucleoli fibrillar center"	"CAB016330: AB_670295, HPA072587: "
ENSG00000132823	OSER1	"C20orf111, dJ1183I21.1, HSPC207, Osr1, Perit1"	"Oxidative stress responsive serine rich 1"	Q9NX31	20	44196496-44210791	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045125	Approved		Approved	"Nucleoli,Nuclear speckles"		"Nucleoli, Nuclear speckles"		"HPA045125: AB_10961629"
ENSG00000138801	PAPSS1	"ATPSK1, PAPSS"	"3'-phosphoadenosine 5'-phosphosulfate synthase 1"	O43252	4	107590276-107720452	"Enzymes, Predicted intracellular proteins"		"Kinase, Multifunctional enzyme, Nucleotidyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	6	"basophil: 50.3;eosinophil: 62.2"	"Lineage enriched"	"Detected in all"	6	"granulocytes: 62.2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA049781	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA049781: "
ENSG00000160781	PAQR6	"FLJ22672, PRdelta"	"Progestin and adipoQ receptor family member 6"	Q6TCH4	1	156243321-156248117	"Predicted intracellular proteins, Predicted membrane proteins"		Receptor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		"Tissue enriched"	"Detected in many"	12	"brain: 138.1"	"Cell line enhanced"	"Detected in many"		"U-266/70: 20.7"	"Cancer enriched"	"Detected in all"	6	"glioma: 34.8"	"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in some"	6	"NK-cell: 10.5"	"Lineage enriched"	"Detected in many"	6	"NK-cells: 10.5"									HPA073505			Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA073505: "
ENSG00000129484	PARP2	ADPRTL2	"Poly(ADP-ribose) polymerase 2"	Q9UGN5	14	20343582-20357905	"Enzymes, FDA approved drug targets, Predicted intracellular proteins"	"DNA damage, DNA repair"	"DNA-binding, Glycosyltransferase, Transferase"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA052003	Approved		Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA052003: "
ENSG00000248383	PCDHAC1		"Protocadherin alpha subfamily C, 1"	Q9H158	5	140926369-141012344	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"		"Tissue enriched"	"Detected in some"	12	"parathyroid gland: 33.3"	"Cell line enhanced"	"Detected in some"		"A549: 8.5;EFO-21: 3.6;hTCEpi: 11.0;PC-3: 6.2;SCLC-21H: 4.9"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"							HPA052775			Approved	Nucleoplasm,Nucleoli,Vesicles		"Nucleoplasm, Nucleoli"	Vesicles	"HPA052775: "
ENSG00000126226	PCID2	FLJ11305	"PCI domain containing 2"	Q5JVF3	13	113177539-113208715	"Predicted intracellular proteins"	"mRNA transport, Protein transport, Translocation, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA069107, HPA073074"	Uncertain		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA069107: , HPA073074: "
ENSG00000183036	PCP4	PEP-19	"Purkinje cell protein 4"	P48539	21	39867317-39929397	"Predicted intracellular proteins"		Calmodulin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 177.9;seminal vesicle: 234.5"	"Cell line enhanced"	"Detected in some"		"RPMI-8226: 56.4;SK-BR-3: 9.5;T-47d: 17.6"	"Low cancer specificity"	"Detected in many"			"Region enriched"	"Detected in all"	5	"basal ganglia: 177.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA005792	Enhanced	Supported	Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA005792: AB_1855086"
ENSG00000141179	PCTP	STARD2	"Phosphatidylcholine transfer protein"	Q9UKL6	17	55750979-55842830	"Predicted intracellular proteins"	"Lipid transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"blood: 56.4;liver: 53.2"	"Cell line enhanced"	"Detected in all"		"HDLM-2: 38.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"eosinophil: 56.4"	"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"							HPA022979	Approved		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA022979: "
ENSG00000174516	PELI3	MGC35521	"Pellino E3 ubiquitin protein ligase family member 3"	Q8N2H9	11	66466327-66477337	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB033750, HPA038875, HPA062281"	Uncertain		Approved	Nucleoplasm,Nucleoli,Vesicles		"Nucleoplasm, Vesicles"	Nucleoli	"CAB033750: AB_2161361, HPA038875: , HPA062281: "
ENSG00000141456	PELP1	MNAR	"Proline, glutamate and leucine rich protein 1"	Q8IZL8	17	4669774-4704337	"Predicted intracellular proteins"	Transcription	"Activator, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA053966, HPA056028, HPA060760"	Supported		Enhanced	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA053966: , HPA056028: , HPA060760: "
ENSG00000100029	PES1	"NOP7, PES"	"Pescadillo ribosomal biogenesis factor 1"	O00541	22	30576625-30607083	"Predicted intracellular proteins"	"Ribosome biogenesis, rRNA processing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA040210, HPA062439, HPA066670"	Supported		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA040210: AB_2676885, HPA062439: AB_2684764, HPA066670: AB_2685700"
ENSG00000136147	PHF11	"BCAP, IGER, NY-REN-34"	"PHD finger protein 11"	Q9UIL8	13	49495610-49528987	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	Activator		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"							"Low region specificity"	"Detected in all"			"HPA016566, HPA016708"	Uncertain		Supported	"Nucleoplasm,Nuclear membrane"		Nucleoplasm	"Nuclear membrane"	"HPA016566: , HPA016708: AB_1855286"
ENSG00000197724	PHF2	"CENP-35, JHDM1E, KDM7C, KIAA0662"	"PHD finger protein 2"	O75151	9	93576407-93679587	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Activator, Chromatin regulator, Dioxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA010831	Approved		Supported	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA010831: AB_1855294"
ENSG00000056487	PHF21B	"BHC80L, FLJ34161, PHF4"	"PHD finger protein 21B"	Q96EK2	22	44881162-45009999	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		"Tissue enhanced"	"Detected in many"		"pituitary gland: 17.9"	"Cell line enhanced"	"Detected in some"		"AF22: 8.1;AN3-CA: 7.2;NTERA-2: 5.1;SCLC-21H: 6.3;SH-SY5Y: 27.9;U-2 OS: 6.3"	"Cancer enhanced"	"Detected in some"		"glioma: 1.9"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA053834, HPA074665"	Enhanced		Uncertain	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA053834: , HPA074665: "
ENSG00000156531	PHF6	"BFLS, BORJ, CENP-31, KIAA1823, MGC14797"	"PHD finger protein 6"	Q8IWS0	X	134373253-134428791	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation"	DNA-binding	"Cancer-related genes, Disease mutation, Epilepsy, Hypotrichosis, Mental retardation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA001023	Enhanced		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA001023: AB_1079606"
ENSG00000139289	PHLDA1	"DT1P1B11, PHRIP, TDAG51"	"Pleckstrin homology like domain family A member 1"	Q8WV24	12	76025447-76033932	"Cancer-related genes, Predicted intracellular proteins"	Apoptosis		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"salivary gland: 142.4"	"Cell line enhanced"	"Detected in many"		"hTERT-HME1: 43.3;RPTEC TERT1: 54.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"gdT-cell: 2.4;MAIT T-cell: 3.9;memory CD4 T-cell: 2.5;memory CD8 T-cell: 2.5;non-classical monocyte: 2.5;T-reg: 4.1"	"Group enriched"	"Detected in many"	7	"monocytes: 2.5;T-cells: 4.1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB016160, HPA019000, HPA063520"	Enhanced		Supported	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"CAB016160: AB_628117, HPA019000: AB_1855309, HPA063520: "
ENSG00000116793	PHTF1	PHTF	"Putative homeodomain transcription factor 1"	Q9UMS5	1	113696831-113759489	"Plasma proteins, Predicted membrane proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA059486			Approved	"Nucleoli,Nuclear bodies"		"Nuclear bodies"	Nucleoli	"HPA059486: "
ENSG00000165282	PIGO	"DKFZp434M222, FLJ00135"	"Phosphatidylinositol glycan anchor biosynthesis class O"	Q8TEQ8	9	35088688-35096601	"Disease related genes, Predicted membrane proteins"	"GPI-anchor biosynthesis"	Transferase	"Disease mutation, Mental retardation"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA014905			Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA014905: AB_1855369"
ENSG00000102309	PIN4	"EPVH, PAR14, PAR17"	"Peptidylprolyl cis/trans isomerase, NIMA-interacting 4"	Q9Y237	X	72181353-72302926	"Enzymes, Plasma proteins, Predicted intracellular proteins"		"DNA-binding, Isomerase, Rotamase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 68.7"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA054483, HPA064504"	Approved		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA054483: , HPA064504: AB_2685274"
ENSG00000254093	PINX1	"FLJ20565, Gno1, LPTL, LPTS, MGC8850, PinX1, Pxr1"	"PIN2/TERF1 interacting telomerase inhibitor 1"	Q96BK5	8	10764963-10839884	"Predicted intracellular proteins"			"Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"							"HPA023139, HPA023146"	Uncertain		Supported	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA023139: AB_1855384, HPA023146: "
ENSG00000181191	PJA1	"FLJ11830, RNF70"	"Praja ring finger ubiquitin ligase 1"	Q8NG27	X	69160851-69165793	"Enzymes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"epididymis: 98.7"	"Cell line enhanced"	"Detected in many"		"HAP1: 38.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA000595	Approved		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA000595: AB_1079826"
ENSG00000203805	PLPP4	"DPPL2, PPAPDC1, PPAPDC1A"	"Phospholipid phosphatase 4"	Q5VZY2	10	120456954-120589855	"Enzymes, Predicted membrane proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		"Tissue enhanced"	"Detected in many"		"brain: 26.5;kidney: 12.6"	"Cell line enhanced"	"Detected in some"		"BJ: 15.1;fHDF/TERT166: 10.7;TIME: 12.0;U-138 MG: 9.6;U-251 MG: 46.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in single"	22	"eosinophil: 2.2"	"Lineage enriched"	"Detected in single"	22	"granulocytes: 2.2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045188	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA045188: "
ENSG00000171566	PLRG1	"Cwc1, PRL1, Prp46, PRPF46, TANGO4"	"Pleiotropic regulator 1"	O43660	4	154535006-154550435	"Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035931, HPA035932, HPA061486"	Supported		Enhanced	"Nuclear membrane,Nuclear speckles"		"Nuclear speckles"	"Nuclear membrane"	"HPA035931: AB_2674868, HPA035932: AB_10673224, HPA061486: "
ENSG00000039650	PNKP	PNK	"Polynucleotide kinase 3'-phosphatase"	Q96T60	19	49859882-49878351	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"DNA damage, DNA repair"	"Hydrolase, Kinase, Multifunctional enzyme, Transferase"	"Disease mutation, Epilepsy, Mental retardation, Neurodegeneration, Primary microcephaly"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA006782	Supported		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA006782: AB_1855496"
ENSG00000115946	PNO1	"KHRBP1, RRP20"	"Partner of NOB1 homolog"	Q9NRX1	2	68157844-68176238	"Plasma proteins, Predicted intracellular proteins"		RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"							HPA056928			Supported	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA056928: "
ENSG00000146278	PNRC1	"B4-2, PROL2, PRR2"	"Proline rich nuclear receptor coactivator 1"	Q12796	6	89080751-89085160	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	Activator		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"HHSteC: 53.8;hTCEpi: 57.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029839, HPA066513"	Approved		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA029839: AB_10601247, HPA066513: "
ENSG00000148229	POLE3	"CHARAC17, CHRAC17, p17, Ybl1"	"DNA polymerase epsilon 3, accessory subunit"	Q9NRF9	9	113407235-113410672	"Enzymes, FDA approved drug targets, Predicted intracellular proteins"		DNA-binding	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA047945	Uncertain		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA047945: "
ENSG00000137054	POLR1E	"FLJ13390, FLJ13970, PAF53, PRAF1"	"RNA polymerase I subunit E"	Q9GZS1	9	37485935-37503697	"Predicted intracellular proteins, Predicted membrane proteins, RNA polymerase related proteins"	Transcription			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA022527, HPA052400"	Supported		Supported	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA022527: AB_1854924, HPA052400: "
ENSG00000100142	POLR2F	"HRBP14.4, RPB6"	"RNA polymerase II subunit F"	P61218	22	37952607-38041915	"Predicted intracellular proteins, RNA polymerase related proteins"	Transcription			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Cancer enhanced"	"Detected in single"		"melanoma: 1.5"	"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA000827, CAB009882"	Supported		Supported	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"CAB009882: AB_2299942, HPA000827: AB_1079834"
ENSG00000196313	POM121	"DKFZP586G1822, DKFZP586P2220, KIAA0618, POM121A"	"POM121 transmembrane nucleoporin"	Q96HA1	7	72879365-72951440	"Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"											"CAB003710, HPA043809, HPA049817"	Approved		Enhanced	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"CAB003710: , HPA043809: , HPA049817: "
